STA,Lat,Long,Segment
27710,-6.215697268,106.5544822,Bitung - Cikupa
27715,-6.215672248,106.5544446,Bitung - Cikupa
27720,-6.215647174,106.554407,Bitung - Cikupa
27725,-6.215622073,106.5543694,Bitung - Cikupa
27730,-6.215596817,106.554332,Bitung - Cikupa
27735,-6.215571553,106.5542945,Bitung - Cikupa
27740,-6.215546243,106.554257,Bitung - Cikupa
27745,-6.215520915,106.5542196,Bitung - Cikupa
27750,-6.215495578,106.5541822,Bitung - Cikupa
27755,-6.215470241,106.5541448,Bitung - Cikupa
27760,-6.215444904,106.5541074,Bitung - Cikupa
27765,-6.215419441,106.55407,Bitung - Cikupa
27770,-6.215393904,106.5540327,Bitung - Cikupa
27775,-6.215368341,106.5539955,Bitung - Cikupa
27780,-6.215342596,106.5539583,Bitung - Cikupa
27785,-6.215316851,106.5539212,Bitung - Cikupa
27790,-6.215291061,106.5538841,Bitung - Cikupa
27795,-6.215265244,106.553847,Bitung - Cikupa
27800,-6.215239409,106.5538099,Bitung - Cikupa
27805,-6.215213447,106.5537729,Bitung - Cikupa
27810,-6.215187485,106.5537359,Bitung - Cikupa
27815,-6.215161468,106.553699,Bitung - Cikupa
27820,-6.215135424,106.553662,Bitung - Cikupa
27825,-6.215109344,106.5536251,Bitung - Cikupa
27830,-6.215083128,106.5535883,Bitung - Cikupa
27835,-6.215056912,106.5535515,Bitung - Cikupa
27840,-6.215030606,106.5535148,Bitung - Cikupa
27845,-6.215004245,106.5534781,Bitung - Cikupa
27850,-6.214977893,106.5534413,Bitung - Cikupa
27855,-6.214951532,106.5534046,Bitung - Cikupa
27860,-6.214925171,106.5533679,Bitung - Cikupa
27865,-6.214898547,106.5533314,Bitung - Cikupa
27870,-6.214871806,106.553295,Bitung - Cikupa
27875,-6.214845037,106.5532586,Bitung - Cikupa
27880,-6.214818177,106.5532222,Bitung - Cikupa
27885,-6.214791309,106.5531859,Bitung - Cikupa
27890,-6.21476445,106.5531495,Bitung - Cikupa
27895,-6.21473759,106.5531132,Bitung - Cikupa
27900,-6.214710713,106.5530769,Bitung - Cikupa
27905,-6.21468379,106.5530406,Bitung - Cikupa
27910,-6.214656858,106.5530043,Bitung - Cikupa
27915,-6.21462989,106.552968,Bitung - Cikupa
27920,-6.214602903,106.5529318,Bitung - Cikupa
27925,-6.214575881,106.5528955,Bitung - Cikupa
27930,-6.214548668,106.5528595,Bitung - Cikupa
27935,-6.214521455,106.5528234,Bitung - Cikupa
27940,-6.214494151,106.5527874,Bitung - Cikupa
27945,-6.214466794,106.5527514,Bitung - Cikupa
27950,-6.214439409,106.5527154,Bitung - Cikupa
